"year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Average"
1974,4.4,5.1,7.3,14.8,19.3,21.9,23.4,27.1,22.8,17.8,11.7,6.7,15.2
1975,4.7,5.1,7.9,14.3,18.6,21.6,25.6,27.3,25.2,17.3,12.7,6.7,15.6
1976,5.4,6.8,9,13,17.7,21.5,23.9,25.1,22,17.5,11.2,7.3,15
1977,3.4,4.9,9.3,15.1,18.7,20.9,25.8,25,24.3,18.7,14.8,8.9,15.8
1978,5.6,4.2,8.7,13.9,19,23.8,27.8,28.9,22.2,17.3,12.9,8.5,16.1
1979,6.6,8.4,9.9,13.9,18.6,24.4,25.2,27.4,24.1,19.6,14.3,10.1,16.9
1980,5.6,5.2,8.2,13.6,19.2,23.6,23.8,23.4,23,18.2,13,7.7,15.4
1981,4.4,5.3,9,13.9,17.5,20.2,26.3,26.2,21.8,17.6,10.4,7.6,15
1982,5.8,5.5,9.9,14,20.7,21.4,23.1,27.1,22.3,18,14.3,9.5,16
1983,6.2,6.1,8.6,15.9,19.7,20.5,23.8,27.5,23.1,17.7,12.3,7.1,15.7
1984,3.7,3,5.9,11.6,17.2,21.8,26.2,28.6,23.5,17.7,12.2,7.7,14.9
1985,4.1,6.5,7.8,14.2,19.1,20.2,26.3,27.9,23.1,17.9,13.3,7.4,15.7
1986,4.5,4.3,7.8,13.9,17.9,21.1,23.9,26.8,23.7,17.1,12.3,8.5,15.2
1987,5.8,6.8,9.3,14.4,19.3,22.1,27,27.3,23.3,18.9,12.8,8.1,16.3
1988,7.7,4.9,8.4,14.3,18.2,22.3,22.4,27,22.8,17.5,11.4,8.4,15.4
1989,8.1,7.5,9.6,15.6,17.7,20.7,24.1,27.1,25.2,17.5,14.2,9.2,16.4
1990,5,7.8,10.6,14.7,19.2,23.5,25.7,28.6,24.8,19.2,15.1,10,17
1991,6.3,6.5,9.5,15.4,18.8,23.6,26.7,25.5,23.9,18.1,13,9.2,16.4
1992,6.8,6.9,9.7,15.1,17.3,20.6,25.5,27,23.3,17.3,13,9.4,16
